punk_id,Trait
443,'WildBlonde'
444,'Do-rag'
444,'Earring'
444,'ShadowBeard'
445,'Earring'
445,'PilotHelmet'
445,'Pipe'
445,'PurpleLipstick'
445,'HiddenEarring'
446,'Cigarette'
446,'NerdGlasses'
446,'StraightHairBlonde'
447,'BigShades'
447,'StringyHair'
448,'ShavedHead'
449,'Cigarette'
449,'PurpleLipstick'
449,'StraightHair'
450,'Cigarette'
450,'Fedora'
450,'SmallShades'
451,'Do-rag'
452,'KnittedCap'
453,'BuckTeeth'
453,'Cap'
454,'Chinstrap'
454,'MedicalMask'
454,'MessyHair'
455,'LuxuriousBeard'
455,'TopHat'
455,'VR'
456,'Earring'
456,'MohawkThin'
456,'NerdGlasses'
456,'Spots'
457,'DGlasses'
457,'Chinstrap'
457,'KnittedCap'
458,'Cap'
458,'Earring'
458,'NormalBeardBlack'
459,'PoliceCap'
460,'BlackLipstick'
460,'Choker'
460,'ClassicShades'
460,'Earring'
460,'MohawkDark'
461,'KnittedCap'
461,'Smile'
462,'CapForward'
462,'ClownNose'
462,'RegularShades'
463,'Bandana'
463,'Vape'
464,'HotLipstick'
464,'MohawkDark'
465,'DGlasses'
465,'Hoodie'
465,'Pipe'
466,'BlondeBob'
466,'PurpleLipstick'
467,'ClassicShades'
467,'FrontBeard'
467,'PurpleHair'
468,'PeakSpike'
469,'FrumpyHair'
470,'BigShades'
470,'KnittedCap'
470,'Mole'
471,'ClownEyesGreen'
471,'StringyHair'
472,'Mustache'
472,'RegularShades'
472,'WildHair'
473,'GreenEyeShadow'
473,'StraightHairDark'
474,'Cigarette'
474,'Pigtails'
475,'CrazyHair'
476,'Mohawk'
476,'Muttonchops'
476,'NerdGlasses'
476,'Pipe'
477,'MohawkDark'
477,'PurpleLipstick'
478,'Cigarette'
478,'PeakSpike'
479,'DarkHair'
479,'RegularShades'
480,'Chinstrap'
480,'Earring'
480,'TopHat'
481,'NerdGlasses'
481,'WildHair'
482,'HotLipstick'
482,'TassleHat'
483,'Mustache'
483,'StringyHair'
484,'KnittedCap'
484,'NerdGlasses'
485,'DGlasses'
485,'BigBeard'
485,'Earring'
485,'Headband'
486,'HotLipstick'
486,'StraightHairBlonde'
487,'CrazyHair'
488,'Earring'
488,'HalfShaved'
488,'Mole'
488,'HiddenEarring'
489,'ClassicShades'
489,'Do-rag'
490,'Earring'
490,'Pigtails'
491,'BlueEyeShadow'
491,'HalfShaved'
491,'HotLipstick'
492,'ClassicShades'
492,'ShadowBeard'
492,'ShavedHead'
493,'PurpleLipstick'
493,'WildBlonde'
494,'FrontBeardDark'
494,'StringyHair'
495,'CrazyHair'
495,'Smile'
496,'Cap'
496,'Earring'
496,'NormalBeardBlack'
496,'SmallShades'
497,'Mustache'
497,'PeakSpike'
498,'BlondeShort'
498,'Earring'
499,'Cigarette'
499,'StraightHairBlonde'
499,'WeldingGoggles'
500,'StraightHair'
501,'Earring'
501,'PilotHelmet'
501,'HiddenEarring'
502,'Earring'
502,'Headband'
502,'NormalBeard'
503,'FrontBeardDark'
503,'MohawkDark'
504,'BlackLipstick'
504,'Earring'
504,'PilotHelmet'
504,'HiddenEarring'
505,'Headband'
505,'NormalBeard'
506,'BigShades'
506,'MessyHair'
507,'DarkHair'
507,'HotLipstick'
508,'Earring'
508,'KnittedCap'
509,'RegularShades'
509,'WildHair'
510,''
511,'Bandana'
