Punk_id,Rarity,Genre,Skin,Traits,Owned_by
8997,1987,Female,Dark,"['BlondeBob', 'BlueEyeShadow', 'HotLipstick']",0x26f744
8998,3115,Male,Light,"['ClownNose', 'Frown', 'PurpleHair']",0x570b4c
8999,1140,Female,Light,"['BlondeShort', 'ClownEyesGreen', 'Earring', 'PurpleLipstick']",0xDde8DF
9000,1204,Female,Dark,"['BlondeShort', 'Cigarette', 'HotLipstick']",0x3689Df
9001,4206,Female,Dark,"['Bandana', 'ClownNose', 'NerdGlasses']",0x8F6b1e
9002,6823,Male,Mid,"['ClassicShades', 'MohawkDark', 'NormalBeardBlack']",0x2CB6be
9003,9245,Female,Albino,"['BlackLipstick', 'Cigarette', 'MohawkThin']",0x69021A
9004,9813,Male,Albino,"['NerdGlasses', 'StringyHair']",0xF1ad94
9005,2607,Male,Mid,"['ClassicShades', 'ClownHairGreen']",0xca5E7f
9006,1673,Female,Light,"['BigShades', 'WildBlonde']",0x69021A
9007,8399,Male,Mid,"['ClownEyesGreen', 'MohawkThin']",0xB9f503
9008,5212,Male,Mid,"['Frown', 'Goat', 'MohawkThin', 'RegularShades']",0xC10B17
9009,1467,Male,Albino,"['Cigarette', 'CowboyHat', 'NerdGlasses']",0x7760E0
9010,4016,Male,Mid,"['Earring', 'PoliceCap', 'VR']",0x97DB27
9011,820,Male,Dark,"['Earring', 'Muttonchops', 'SmallShades', 'TopHat']",0x33F848
9012,3567,Male,Dark,"['Earring', 'FrumpyHair', 'MedicalMask']",0x2c0768
9013,3108,Female,Dark,"['Cigarette', 'DarkHair']",0x0Fc7d8
9014,2752,Female,Dark,"['BlackLipstick', 'Cigarette', 'GreenEyeShadow', 'StraightHair']",0xbC7b24
9015,7837,Male,Light,"['Cap', 'Earring', 'Pipe']",0xD7cc2d
9016,4246,Male,Albino,"['Chinstrap', 'HornedRimGlasses', 'Smile', 'StringyHair']",0xD16d91
9017,7428,Male,Dark,"['Do-rag', 'ShadowBeard', 'SmallShades']",0xBD21D1
9018,5491,Male,Mid,"['ClassicShades', 'Earring', 'Handlebars', 'PeakSpike']",0xcA3Be8
9019,1756,Male,Light,"['Bandana', 'BigBeard', 'MedicalMask', 'VR']",0xFe2F27
9020,3016,Female,Mid,"['DarkHair', 'EyeMask', 'PurpleLipstick']",0xCC7C33
9021,2013,Female,Dark,"['Cigarette', 'GreenEyeShadow', 'HotLipstick', 'RedMohawk']",0xa25803
9022,5243,Male,Light,"['Frown', 'FrumpyHair', 'Muttonchops']",0xFfE57f
9023,5351,Female,Light,"['Headband', 'PurpleEyeShadow']",0x997EDA
9024,6671,Male,Mid,"['ClassicShades', 'Earring', 'MohawkThin', 'Mustache']",0x1b21A4
9025,7723,Male,Light,"['Earring', 'FrumpyHair', 'Muttonchops']",0xc14299
9026,6105,Male,Mid,"['Bandana', 'ClassicShades', 'Earring', 'FrontBeard']",0x584CDF
9027,9413,Female,Mid,"['BlackLipstick', 'FrumpyHair', 'NerdGlasses']",0x8d8100
9028,4477,Female,Light,['Pipe'],0x97DB27
9029,9280,Female,Albino,"['Mohawk', 'PurpleLipstick']",0xa486C7
